"year","stock","species","SSB_t","R","spawners"
1954,"bocaccio","Bocaccio Rockfish",5594,6520000,"eggs"
1955,"bocaccio","Bocaccio Rockfish",5332,5784000,"eggs"
1956,"bocaccio","Bocaccio Rockfish",4978,5871000,"eggs"
1957,"bocaccio","Bocaccio Rockfish",4523,7470000,"eggs"
1958,"bocaccio","Bocaccio Rockfish",4064,9598000,"eggs"
1959,"bocaccio","Bocaccio Rockfish",3629,10672000,"eggs"
1960,"bocaccio","Bocaccio Rockfish",3402,10698000,"eggs"
1961,"bocaccio","Bocaccio Rockfish",3387,10137000,"eggs"
1962,"bocaccio","Bocaccio Rockfish",3590,11547000,"eggs"
1963,"bocaccio","Bocaccio Rockfish",3916,11048000,"eggs"
1964,"bocaccio","Bocaccio Rockfish",4251,10474000,"eggs"
1965,"bocaccio","Bocaccio Rockfish",4702,54356000,"eggs"
1966,"bocaccio","Bocaccio Rockfish",5148,9685000,"eggs"
1967,"bocaccio","Bocaccio Rockfish",5696,10411000,"eggs"
1968,"bocaccio","Bocaccio Rockfish",6840,13330000,"eggs"
1969,"bocaccio","Bocaccio Rockfish",7942,16516000,"eggs"
1970,"bocaccio","Bocaccio Rockfish",8698,16270000,"eggs"
1971,"bocaccio","Bocaccio Rockfish",9166,6604000,"eggs"
1972,"bocaccio","Bocaccio Rockfish",9629,13721000,"eggs"
1973,"bocaccio","Bocaccio Rockfish",9811,20490000,"eggs"
1974,"bocaccio","Bocaccio Rockfish",9169,15858000,"eggs"
1975,"bocaccio","Bocaccio Rockfish",8215,7387000,"eggs"
1976,"bocaccio","Bocaccio Rockfish",7823,1552000,"eggs"
1977,"bocaccio","Bocaccio Rockfish",7453,36474000,"eggs"
1978,"bocaccio","Bocaccio Rockfish",7001,24140000,"eggs"
1979,"bocaccio","Bocaccio Rockfish",6598,5282000,"eggs"
1980,"bocaccio","Bocaccio Rockfish",6679,3495000,"eggs"
1981,"bocaccio","Bocaccio Rockfish",7015,1723000,"eggs"
1982,"bocaccio","Bocaccio Rockfish",6834,752000,"eggs"
1983,"bocaccio","Bocaccio Rockfish",6027,1102000,"eggs"
1984,"bocaccio","Bocaccio Rockfish",5046,16386000,"eggs"
1985,"bocaccio","Bocaccio Rockfish",4109,4064000,"eggs"
1986,"bocaccio","Bocaccio Rockfish",3537,2026000,"eggs"
1987,"bocaccio","Bocaccio Rockfish",3277,2573000,"eggs"
1988,"bocaccio","Bocaccio Rockfish",3104,10762000,"eggs"
1989,"bocaccio","Bocaccio Rockfish",2844,2598000,"eggs"
1990,"bocaccio","Bocaccio Rockfish",2514,2392000,"eggs"
1991,"bocaccio","Bocaccio Rockfish",2363,3367000,"eggs"
1992,"bocaccio","Bocaccio Rockfish",2323,2539000,"eggs"
1993,"bocaccio","Bocaccio Rockfish",2179,1769000,"eggs"
1994,"bocaccio","Bocaccio Rockfish",2036,1898000,"eggs"
1995,"bocaccio","Bocaccio Rockfish",1916,1242000,"eggs"
1996,"bocaccio","Bocaccio Rockfish",1845,1258000,"eggs"
1997,"bocaccio","Bocaccio Rockfish",1781,1740000,"eggs"
1998,"bocaccio","Bocaccio Rockfish",1703,779000,"eggs"
1999,"bocaccio","Bocaccio Rockfish",1655,11329000,"eggs"
2000,"bocaccio","Bocaccio Rockfish",1609,1853000,"eggs"
2001,"bocaccio","Bocaccio Rockfish",1641,1409000,"eggs"
2002,"bocaccio","Bocaccio Rockfish",1891,1076000,"eggs"
2003,"bocaccio","Bocaccio Rockfish",2133,3455000,"eggs"
2004,"bocaccio","Bocaccio Rockfish",2279,1328000,"eggs"
2005,"bocaccio","Bocaccio Rockfish",2342,2088000,"eggs"
2006,"bocaccio","Bocaccio Rockfish",2370,1292000,"eggs"
2007,"bocaccio","Bocaccio Rockfish",2379,1193000,"eggs"
2008,"bocaccio","Bocaccio Rockfish",2356,978000,"eggs"
2009,"bocaccio","Bocaccio Rockfish",2306,1949000,"eggs"
2010,"bocaccio","Bocaccio Rockfish",2223,5459000,"eggs"
2011,"bocaccio","Bocaccio Rockfish",2128,4594000,"eggs"
2012,"bocaccio","Bocaccio Rockfish",2075,2831000,"eggs"
2013,"bocaccio","Bocaccio Rockfish",2137,15582000,"eggs"
2014,"bocaccio","Bocaccio Rockfish",2270,7744000,"eggs"
2015,"bocaccio","Bocaccio Rockfish",2505,4223000,"eggs"
